DATE,OKTULS3POP
1970-01-01,399.982
1971-01-01,404.500
1972-01-01,409.700
1973-01-01,413.700
1974-01-01,417.600
1975-01-01,424.300
1976-01-01,430.200
1977-01-01,434.300
1978-01-01,439.300
1979-01-01,454.600
1980-01-01,470.593
1981-01-01,482.745
1982-01-01,497.599
1983-01-01,507.078
1984-01-01,506.414
1985-01-01,504.424
1986-01-01,507.932
1987-01-01,505.740
1988-01-01,499.454
1989-01-01,499.452
1990-01-01,505.289
1991-01-01,514.116
1992-01-01,521.681
1993-01-01,526.344
1994-01-01,529.054
1995-01-01,531.124
1996-01-01,537.887
1997-01-01,546.009
1998-01-01,554.563
1999-01-01,561.682
2000-01-01,564.074
2001-01-01,567.074
2002-01-01,570.637
2003-01-01,570.313
2004-01-01,568.313
2005-01-01,570.635
2006-01-01,577.796
2007-01-01,585.705
2008-01-01,592.788
2009-01-01,602.694
2010-01-01,604.973
2011-01-01,609.204
2012-01-01,615.181
2013-01-01,623.705
2014-01-01,630.918
2015-01-01,640.47
2016-01-01,645.951
2017-01-01,646.437
2018-01-01,647.683
2019-01-01,651.552
