DATE,PEAAOK40143A647NCEN
1989-01-01,61517
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,89739
1994-01-01,.
1995-01-01,85288
1996-01-01,.
1997-01-01,72130
1998-01-01,70822
1999-01-01,62413
2000-01-01,61570
2001-01-01,65385
2002-01-01,70497
2003-01-01,74208
2004-01-01,70304
2005-01-01,79404
2006-01-01,88479
2007-01-01,81312
2008-01-01,78977
2009-01-01,86097
2010-01-01,94185
2011-01-01,90078
2012-01-01,96205
2013-01-01,95783
2014-01-01,91246
2015-01-01,99650
2016-01-01,99417
2017-01-01,91757
2018-01-01,89706
